22:40 09 ноября 2008|Добавлена система Orphus. Автор: Дмитрий Котеров.
21:49 23 августа 2008|Удалена часть разделов, планируется изменить хранение файлов и функций раздела &quot;Классы и функции&quot; в обычных текстовых файлах на файлы базы данных SQLite.
21:44 23 августа 2008|Сайт переехал на новый хостинг и также изменил доменное имя - теперь имя и фамилия пишется через дефис, а не слитно как раньше.
12:30 23 марта 2008|На сайте появился новый раздел: &quot;Я на карте&quot;, также в раздел &quot;Контакты&quot; добавлена статическая карта. Спасибо Google Map API.
01:36 16 марта 2008|Добавил статистику LiveInternet.
22:51 23 февраля 2008|Исправил ошибку в функции avatarDo(), дело в том, что я писал ее для одного проекта и неправильно адаптировал к более общему виду, но зато добавил сейчас черезстрочный режим загрузки :).
01:49 17 февраля 2008|Добавлены новые функции в раздел &quot;Классы и функции&quot;: myMysqlConnect(), avatarDo(), myRssParse().
03:15 29 января 2008|Добавлен новый поддомен http://modx.dmitry-ponomarev.ru.ru
15:55 25 января 2008|Добавлен RSS-канал.
13:25 20 января 2008|Теперь и пользователи браузеров на базе Mozilla могут добавлять страницу в закладки нажав сердечко.
01:41 09 января 2008|В &quot;Програмное обеспечение&quot; добавлены логотипы и добавлена возможность просмотра всех логотипов одновременно.
18:47 03 декабря 2007|Добавлен поддомен http://squirrel.dmitryponomarev.ru
14:06 29 ноября 2007|В разделе &quot;Классы и функции&quot; добавлена функция управления кэш-памятью браузера.
23:23 28 ноября 2007|В разделе &quot;Классы и функции&quot; добавлены функции чтения и удаления строк cookie.
01:23 23 ноября 2007|Улучшен вид блока &quot;Новости сайта&quot;.
23:47 21 ноября 2007|Устранена ошибка в регулярном выражении, анализирующим заголовки в файлах с классами и функциями в разделе &quot;Классы и функции&quot;, из-за чего страница отображалась некорректно.
01:43 12 сентября 2007|Добавлена возможность изменять цветовую схему сайта.
20:37 11 сентября 2007|В раздел &quot;Небольшие модули и функции&quot; добавлена функция &quot;Часы&quot;.
18:52 11 сентября 2007|В разделе &quot;Контакты&quot; добавлено необязательное поле E-mail.
17:05 10 сентября 2007|В разделе &quot;Небольшие модули и функции&quot; добавлен модуль транслитерации.
22:22 02 сентября 2007|Загружена страничка &quot;Зарекомендовавшие себя ресурсы по web&quot;.
19:39 02 сентября 2007|В раздел &quot;Релизы&quot; добавлен модуль голосования.
17:54 02 сентября 2007|Наконец-то дописал и добавил модуль голосования, закинул на сайт, но пока неуспел выложит в разделе &quot;Релизы&quot;.
23:35 01 сентября 2007|Устранена ошибка в журнале посещений, связанная с экранированием кавычек, в разделе &quot;Релизы&quot; исправлено описание журнала.
10:33 31 августа 2007|Сайт успешно загружен на сервер, устранены некоторые ошибки.
15:20 30 августа 2007|Вторая версия сайта подготавливается к закачке на сервер, многие разделы незаполнены. В файл журнала посещений переписаны заметки с первой версии сайта.
